0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2336.132,2240.312744,146.0425,167.3599091,15570.7029,14439.92188,16665.5198,10955.12402,11690.394,11602.16797,0.53,0.116680145,257.1066,249.7728882,46666.4278,40199.69922
2304.7077,2243.128662,138.9159,167.6177368,15628.2164,15899.91992,16929.4426,17713.81641,12186.8142,12175.88574,0.52,4.072363377,255.6784,308.5247498,47444.2952,49055.83594
2355.8441,2272.999268,145.3871,166.2769012,16042.1088,21850.74805,17498.2875,30159.47656,12840.4522,13540.77246,0.22,6.370889187,244.0492,352.0504761,49126.3489,68778.27344
2275.1544,2258.889404,148.497,187.0517578,15744.6098,17069.0332,17143.3065,18500.63086,12156.6736,12397.75684,0.277,2.691293001,251.5974,337.6166992,47720.1157,51497.62109
2359.8086,2262.758301,144.0837,165.5334778,16139.2997,15884.28516,17882.4377,14143.70801,12307.28,12107.57324,7.1,0.853243291,250.8536,233.0558014,49090.8633,46408.45313
2301.9117,2288.30957,145.1131,155.2639008,16605.7795,17658.41992,18474.7881,22088.87695,11445.0621,12243.35254,10.7632,3.519563913,277.3326,365.7948303,49260.7503,55352.10547
2169.0854,2220.726318,132.5219,220.1700897,15252.2977,15118.26172,16659.6187,18103.18359,11648.7915,11586.66797,3.3933,9.042873383,272.6834,338.2330322,46138.3919,45106.49219
2241.0251,2281.324219,136.9932,233.2539063,15087.157,14348.73438,16689.5899,15646.91992,11168.78,12248.38574,2.24,5.690833569,255.2074,278.4702454,45580.9926,43160.8125
2275.3908,2228.111816,144.1432,186.4197235,15522.7193,13290.46582,16801.7288,13569.88867,11755.54,11808.12207,2.6,1.758880019,250.9118,263.6298523,46753.0339,40247.47266
2253.9255,2183.473633,132.2461,156.0645752,15543.1868,13880.66504,16787.1338,14648.36621,11503.32,11634.6377,2.88,2.012151957,234.7269,303.6049805,46457.4191,43300.4375
2333.8402,2192.5354,132.7062,164.9763794,15378.6479,15939.00684,16773.1386,17999.68164,11812.6289,11966.19531,2.26,5.023696899,240.6623,359.8986816,46673.8841,47668.14453
2364.0326,2233.388672,120.649,169.4228363,15860.9505,19704.67578,17642.4407,24510.16797,12097.63,12640.63281,2.9,5.239789486,248.3486,379.6289673,48336.9514,59500.50391
2410.0439,2267.826416,148.3616,162.8178406,16181.184,17829.36328,18383.8644,19348.61133,11327.5671,12195.01758,3.12,4.103298187,256.8683,332.3010559,48711.0093,52767.84766
2296.0692,2179.85376,148.1785,169.0704498,15720.2162,17110.48047,17171.8,18923.50586,11960.0754,12470.79102,2.01,1.339993954,253.878,272.0343323,47552.2273,53010.22266
2312.1376,2172.667236,136.9971,164.6750488,15932.8463,15662.56836,17805.4436,16010.93457,12377.61,12349.08691,6.08,0.935061932,266.5782,311.4908752,48837.6928,48217.01172
2364.9988,2187.565918,147.7589,173.7514191,15202.5918,13894.00293,17024.2048,12932.82031,11945.64,12019.26758,6.78,0.032684494,263.753,275.5843201,46955.7273,43249.85938
2358.9451,2284.607422,145.6234,184.0648346,15247.7336,13379.72852,17046.3397,14309.18848,12056.2415,12308.04883,1.7071,2.633102417,244.1099,260.6634827,47100.7003,43525.15234
2337.2536,2220.161377,129.1045,157.6001434,15020.0413,13657.32227,16892.3001,16343.33105,12271.19,11995.0166,3.4802,0.969881415,266.7955,299.2769165,46920.1652,45099.92578
2423.787,2235.032471,137.3866,148.9010925,15386.5573,14025.88574,17190.9268,13751.37402,12505.4337,11870.29395,2.3226,2.526894569,272.1263,264.3936157,47918.5403,43944.625
2210.8038,2255.770264,100.5136,151.5007324,14419.9181,16923.66797,16504.9061,19430.67383,12419.99,12028.06934,4.1339,3.337912798,228.9209,314.4151306,45889.1864,53252.73047
2123.867,2201.556885,132.3283,188.0715332,13216.5089,17340.70703,16015.1398,21285.42578,10386.0089,11714.98242,15.0193,3.400961399,275.6498,284.845459,42164.522,52094.85547
